Name,Content Rules,Default State,Description,Dynamic Behavior,Error State,Number,Object,Type
Bulk edit,N/A,N/A,This allows users can change the column value at once with multi-select rows,"Clicking on the Edit button will display the dropdown menu to select a column property that users want to edit ../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md

Click on the menu will open a dialog box to let users to select a value to change. ../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md

When there is one column could be edit, the button name could be that column action. ../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md

Do not display any actions when there are no common actions for multi-select.../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md","When certain columns cannot be updated, after users click the 'Update' button, we update all the columns that are eligible for update. Subsequently, an error alert is displayed to inform users about the columns that cannot be updated. ../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md../Widgets/Object%20Table%20309374cae3fa8113b439c8bb096e0478.md",12,OL.1,
Text input combination field,Empty field,"Empty, unless data is filled then show data.","Allows for longer, multi-line responses, for things like label descriptions.","By default, all the text input fields are required. When a text input field is optional, show “(optional)” in placeholder.",The field outline turn to red color,3,IF.0 Input field,
Content area,-,-,Contains the information that read only or interact without second submit.,"When the content exceed the maximum allowed vertical space, the scrollbar appears and is limited the content area only.",We should wait to validate any and all inputs when the CTA is clicked and not before.,2,MO.5 Information dialog,Surface Modal
Title,"Use the title to communicate the main benefit in an active and personalized way, for example: ""Manage your issues"", instead of ""Issue types.""

Try to personalize where you can, for example: ""A better experience for your team"", instead of ""Better team experiences.""

Try to limit titles to three words, although four words are permissible if you are using a short article like “an”, “a”, or “the”.",-,The title provides a concise overview of the contents of the journey.,-,-,2,MO.4 Splash screen dialog,Surface Modal
Property filter multi object picker list,,,Specs for https://www.notion.so/309374cae3fa81868cc0cb7295bd910d?pvs=21,,,3,OL.3 Object List Sort & Filter modals,Widget
Tertiary CTA button,,-,Place the additional CTA on the far left of the dialog box. It's not the main task action.,-,-,4,MO.2 Sub-task dialog,Surface Modal
,,,,,,3,BN.0 Alert Banner,
Checkbox,-,"By default, this check box will be unselected.",-,-,-,5,MO.4 Splash screen dialog,Surface Modal
Content area,-,-,Contains the information and/or controls needed to complete the modal’s task. It can include message text and components.,"When the content exceed the maximum allowed vertical space, the scrollbar appears and is limited the content area only.",We should wait to validate any and all inputs when the CTA is clicked and not before.,1,MO.3 Wizard dialog,Surface Modal
Header,"Titles are typically nouns
Title should always make it clear which object list below
Title shoud be short with 1-2 word nouns e.g Liveboard, Tab, City etc.
Avoid overly long title
Don’t wrap or truncate title text
Title don’t need punctuation like periods or colons
Title should use sentence-case capitalization",N/A,The header title describes the type of the object list content,Entering a search query will refresh the object list with objects that match the search query term.The object list will refresh dynamically as the user enters their search query,N/A,2,SOL.0 Single object list picker,
Primary Field,N/A,The natural number 1 will be entered into this field by default.,"The primary entry field allows the user to enter an natural number which allows them to set the frequency per hour, day, week or month.","The natural number  1 will be entered into this field by default. This is a required field.
Values : 1 to 12? TBD/Depends on product context",This field will need to be validated for any non natural number and will automatically switch to nearest natural number and closest to any decimal entered or should prevent users from entering any decimal or negative values,1,FP.0 Frequency Picker,
CTA bar,-,-,"Contains the navigational and action buttons. Action buttons, such as Done, Get started, Try it, are on the right.",-,-,4,MO.4 Splash screen dialog,Surface Modal
,,,,,,4,BN.0 Alert Banner,
Cancel button,-,-,Clicking the Cancel button will close the modal and return the user to its previous context. Cancel undoes all applied changes.,-,-,6,MO.3 Wizard dialog,Surface Modal
Content area,,-,Contains the information and/or controls needed to complete the dialogs’s task. It can include message text and components.,"When the content exceed the maximum allowed vertical space, the scrollbar appears and is limited the content area only.",We should wait to validate any and all inputs when the CTA is clicked and not before.,2,MO.1 Simple dialog,Surface Modal
,,,,,,1,SEC.0 Section alerts,
Label text,"Form labels are typically nouns
For form labels that require action, start with a verb e.g Select card type
Form labels should always make it clear which field they should fill in
Label input fields with short, 1-2 word nouns e.g name, date, area code etc.
 Label text should not exceed the width of the input field. Labels may be truncated but editing for length is preferred
Avoid overly long labels
Don’t wrap label text
Labels don’t need punctuation like periods or colons.
The error message temporarily replaces the field label, so the message must provide instruction on how to fix the error AND include the name of the field to make it clear which field is affected
State the issue clearly and in a way that does not assign blame
Provide a remedy when possible
Provide only the information the user needs to know at this moment",Display the form label text,Label text is used to inform users as to what information is requested for a text field.,"When text input isn't accepted, an error message replace the label text until fixed.",Display error icon and error message in red color,1,IF.0 Text fields,
Global Navigation bar,,,See description for global navigation bar,,,1,S.0 View Surface,
Quarter field,,Current quarter,Dropdown field that will have quarter number to choose from,"Can have any of the below values
Q1
Q2
Q3
Q4",NA - It will always have a value,5,DP.0 Date picker,
Chevron icon,N/A,N/A,The chevron icon indicates this row has a deeper level.,Clicking anywhere in its row can go to the next level when it has.,N/A,5,SOL.0 Single object list picker,
Label text,"Form labels are typically nouns.

For form labels that require action, start with a verb e.g Select card type.

Form labels should always make it clear which field they should fill in.

Label input fields with short, 1-2 word nouns e.g name, date, area code etc.

Label text should not exceed the width of the input field. Labels may be truncated but editing for length is preferred.

Avoid overly long labels.

Don’t wrap label text.

Labels don’t need punctuation like periods or colons.

The error message temporarily replaces the field label, so the message must provide instruction on how to fix the error AND include the name of the field to make it clear which field is affected.

State the issue clearly and in a way that does not assign blame.

Provide a remedy when possible.

Provide only the information the user needs to know at this moment.",Display the form label text,Label text is used to inform users as to what information is requested for a text field.,"When text input isn't accepted, an error message replace the label text until fixed.",Display error icon and error message in red color,1,IF.0 Input field,
